country,code,continent,population,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,diabetes_prevalence,iso_code,country_wb,population_density,health_expenditure_per_capita,health_expenditure_pct_gdp
Bhutan,BTN,Asia,780921.0,62954.0,80615.07,21.0,26.891325,89.52455,86.778175,81.26827,50.683649635036495,28.809999465942383,14610.2958984375,2.1600000858306885,72.75399780273438,12.0,BTN,Bhutan,20.3314630309386,161.46617126,4.78581429
Bolivia,BOL,South America,12077156.0,1212185.0,100370.07,22389.0,1853.8304,60.949844,51.01023,17.947844,42.2929197080292,24.39200019836425,11329.1513671875,1.4900000095367432,67.43419647216797,3.400000095367432,BOL,Bolivia,11.0194405981723,276.20880127,8.16016769
Bonaire Sint Eustatius and Saba,BES,North America,28654.0,11922.0,416067.56,41.0,1430.8647,66.68877,58.407204,,,39.77299880981445,,,78.15450286865234,,,,,,
Bosnia and Herzegovina,BIH,Europe,3204802.0,404289.0,126151.01,16419.0,5123.2495,29.43689,26.400383,3.7609189,38.6827098540146,44.55899810791016,20527.693359375,2.3499999046325684,76.7771987915039,10.300000190734863,BIH,Bosnia and Herzegovina,63.37708984375,697.07427979,9.55514336
Botswana,BWA,Africa,2439895.0,330699.0,135538.2,2801.0,1148.0002,79.96467,68.17876,20.935696,36.4909306569343,22.60400009155273,18068.505859375,2.359999895095825,68.74870300292969,4.599999904632568,BWA,Botswana,4.23736347114146,492.14276123,6.30315065
Brazil,BRA,South America,210306411.0,38024465.0,180805.06,703961.0,3347.3113,90.17482,83.76549,60.097355,48.54258211678832,33.50600051879883,19652.365234375,2.5199999809265137,74.87190246582031,10.600000381469728,BRA,Brazil,25.0714027283582,768.27075195,9.63646507
British Virgin Islands,VGB,North America,38346.0,7661.0,199786.16,64.0,1669.0137,50.764095,47.621655,9.716789,,37.119998931884766,,,77.177001953125,,VGB,British Virgin Islands,252.06,,
Brunei,BRN,Asia,455374.0,350550.0,769806.8,182.0,399.67148,99.07219,98.09827,74.766235,39.496021897810216,31.275999069213867,79071.734375,3.5799999237060547,72.91709899902344,13.699999809265137,BRN,Brunei Darussalam,85.715559772296,665.87030029,2.14748693
Bulgaria,BGR,Europe,6825862.0,1341094.0,196472.47,38778.0,5681.0405,31.583748,30.443129,11.257626,36.167572992700734,44.15399932861328,34221.53125,8.199999809265137,74.0342025756836,7.400000095367432,BGR,Bulgaria,59.9419767870302,1109.10290527,8.58048916
Burkina Faso,BFA,Africa,22509038.0,22231.0,987.6477,400.0,17.77064,27.051752,23.245539,0.018019428,20.494908759124087,17.041000366210938,2547.67236328125,0.2000000029802322,60.70000076293945,4.5,BFA,Burkina Faso,80.3919700292398,63.59171295,7.08691931
Burundi,BDI,Africa,13321102.0,54569.0,4096.433,15.0,1.126033,0.27707168,0.27265763,0.0023571623,15.849945255474454,15.67199993133545,1051.25927734375,0.6899999976158142,62.88190078735352,4.300000190734863,BDI,Burundi,504.886331775701,23.11420059,8.94190311
Cambodia,KHM,Asia,17201721.0,139326.0,8099.5386,3056.0,177.65665,89.0415,85.417465,62.683903,45.121569343065694,25.59600067138672,7008.88916015625,0.7300000190734863,70.52799987792969,7.5,KHM,Cambodia,96.160803308407,137.38909912,6.33888054
Cameroon,CMR,Africa,27632770.0,125325.0,4535.376,1974.0,71.43692,13.5843525,11.570632,2.9079967,31.54181569343066,17.62299919128418,4916.93359375,2.650000095367432,62.44279861450195,6.900000095367432,CMR,Cameroon,56.9392608576083,72.59731293,4.34109783
Canada,CAN,North America,38821259.0,4819055.0,124134.44,55282.0,1424.0135,89.49461,81.80634,89.87417,50.31122262773722,40.25299835205078,56706.82421875,2.539999961853028,81.24929809570312,7.699999809265137,CAN,Canada,4.351026204103,6511.46972656,12.38106632
Cape Verde,CPV,Africa,519750.0,64550.0,124194.32,417.0,802.3088,68.63569,59.39779,0.14410774,48.15736313868613,27.32200050354004,9848.953125,2.2100000381469727,75.90679931640625,6.800000190734863,CPV,Cabo Verde,128.200744416873,262.42272949,6.60773611
Cayman Islands,CYM,North America,71610.0,31472.0,439491.7,37.0,516.6876,86.737885,84.75911,33.604244,,37.499000549316406,79675.859375,,79.98410034179688,11.100000381469728,CYM,Cayman Islands,292.116666666667,,
Central African Republic,CAF,Africa,5098038.0,15493.0,3039.0122,113.0,22.16539,51.00764,48.74395,7.1835675,23.903476277372263,14.29800033569336,1111.2193603515625,1.0,18.817699432373047,7.599999904632568,CAF,Central African Republic,8.20588140871296,46.25038147,9.15097523
Chad,TCD,Africa,18455319.0,7702.0,417.33228,194.0,10.511874,27.892593,27.202782,21.90465,36.31362226277373,15.10200023651123,2412.865966796875,0.1500000059604644,54.52750015258789,7.300000190734863,TCD,Chad,14.1584124841169,37.59156799,3.9722333
Chile,CHL,South America,19553033.0,5410524.0,276710.22,64497.0,3298.5676,92.51003,90.523636,140.51492,51.38692518248176,35.5260009765625,30182.787109375,1.940000057220459,79.17620086669922,12.199999809265137,CHL,Chile,26.192118041714,1576.69287109,9.72450161
China,CHN,Asia,1425179562.0,99381761.0,69732.8,122398.0,85.882515,92.48145,90.12756,58.523163,73.31321167883212,38.53400039672852,23845.619140625,5.630000114440918,78.20210266113281,11.899999618530272,CHN,China,150.439753691066,670.25897217,5.25590324
Colombia,COL,South America,51737944.0,6403299.0,123764.08,142812.0,2760.2952,83.13468,71.90879,28.884434,50.66514598540146,31.18099975585937,18477.21484375,1.7000000476837158,76.50810241699219,8.399999618530273,COL,Colombia,46.1362532672375,568.84130859,9.14150524
Comoros,COM,Africa,834191.0,9109.0,10919.562,161.0,193.00136,52.60486,47.60061,0.0,,20.10199928283692,3482.534912109375,,66.48059844970703,10.800000190734863,COM,Comoros,439.642127888232,100.50016785,6.46315002
Congo,COG,Africa,6035104.0,25234.0,4181.2036,389.0,64.45622,11.52855,10.838571,0.0,43.53104927007299,18.20199966430664,6181.470703125,,65.00029754638672,8.100000381469727,COG,"Congo, Rep.",17.2538301610542,78.60149384,3.46133351
Cook Islands,COK,Oceania,14747.0,7375.0,500101.72,2.0,135.6208,102.47508,99.87116,69.43785,,34.10900115966797,,,75.07869720458984,,,,,,
Costa Rica,CRI,North America,5081764.0,1242734.0,244547.77,9396.0,1848.9642,91.516174,85.98951,58.769493,43.3070802919708,33.5359992980957,26973.435546875,1.1399999856948853,79.31639862060547,9.800000190734863,CRI,Costa Rica,99.0988640814728,977.14831543,7.61130476
Cote d'Ivoire,CIV,Africa,30395004.0,,,,,44.64014,40.020737,10.326407,24.87639598540146,17.992000579833984,6747.0380859375,,61.562198638916016,5.0,CIV,Cote d'Ivoire,93.2067169811321,92.39588928,3.76207662
Croatia,HRV,Europe,3907031.0,1371673.0,351078.1,18805.0,4813.1177,59.457554,57.63479,25.495012,33.40400547445255,44.61100006103516,42829.19921875,5.599999904632568,78.27790069580078,10.5,HRV,Croatia,69.3170300214439,1423.52905273,8.08265686
Cuba,CUB,North America,11059822.0,1113834.0,100709.94,8530.0,771.26013,97.70112,90.90253,79.501434,48.01255474452555,41.505001068115234,,4.329999923706055,77.62909698486328,9.399999618530272,CUB,Cuba,107.149980732177,,13.78746605
Curacao,CUW,North America,185350.0,45883.0,247547.88,305.0,1645.5355,58.592392,54.42946,26.55139,,37.95399856567383,28762.05859375,,76.72869873046875,13.399999618530272,CUW,Curacao,346.72972972973,,
Cyprus,CYP,Europe,1331376.0,718887.0,764467.6,1364.0,1450.4836,71.37496,69.774,55.299793,45.09606751824818,37.3390007019043,52635.58203125,2.150000095367432,80.43370056152344,10.0,CYP,Cyprus,142.565909090909,2947.81494141,8.87445068
Czechia,CZE,Europe,10673216.0,4887336.0,457906.6,43931.0,4116.004,65.41614,64.60811,52.293404,39.48719890510949,42.64500045776367,47963.8984375,6.539999961853027,79.16480255126953,7.599999904632568,CZE,Czechia,136.108349053848,2538.03344727,9.15420723
Democratic Republic of Congo,COD,Africa,102396974.0,101010.0,986.45496,1474.0,14.394957,16.646704,14.062447,0.0,37.43197080291971,15.765999794006348,1602.074951171875,,60.97890090942383,7.699999809265137,COD,"Congo, Dem. Rep.",43.7347795593392,21.58848572,3.86727977
Denmark,DNK,Europe,5902901.0,3453680.0,585081.8,10012.0,1696.1152,80.40999,79.82519,61.27506,35.377308394160586,41.21599960327149,71431.2890625,2.430000066757202,81.29060363769531,6.400000095367432,DNK,Denmark,146.418325,7429.99023438,10.65575886
Djibouti,DJI,Africa,1137101.0,15690.0,13798.247,189.0,166.21214,37.074368,35.28341,0.0,39.84058394160584,24.084999084472656,6871.12451171875,1.399999976158142,65.54019927978516,6.5,DJI,Djibouti,48.3713546160483,86.88237762,2.87128091
Dominica,DMA,North America,66847.0,16047.0,240055.66,74.0,1107.0055,49.358982,45.864437,5.973342,39.84109489051095,35.29499816894531,18739.36328125,3.9700000286102295,71.08059692382812,12.899999618530272,DMA,Dominica,89.6026666666667,521.41455078,6.31142521
Dominican Republic,DOM,North America,11230734.0,661103.0,58865.52,4384.0,390.3574,65.5985,54.586662,22.929419,45.041660583941606,27.316999435424805,24229.888671875,0.75,74.21080017089844,17.600000381469727,DOM,Dominican Republic,230.786990834893,433.89172363,5.08839989
East Timor,TLS,Asia,1369299.0,23460.0,17132.854,138.0,100.781494,64.76584,58.552513,24.844902,36.23715328467153,20.63999938964844,3890.95751953125,0.3799999952316284,67.36840057373047,3.200000047683716,TLS,Timor-Leste,90.7961667787492,132.07870483,4.9192977
Ecuador,ECU,South America,17823900.0,1082192.0,60715.78,36064.0,2023.3507,86.09671,79.94636,59.217827,47.73926094890511,27.975000381469727,13935.5390625,1.3200000524520874,76.57669830322266,4.900000095367432,ECU,Ecuador,71.1968674504751,507.65136719,8.37526226
Egypt,EGY,Africa,112618252.0,516023.0,4582.0547,24830.0,220.47935,50.53117,37.59353,13.512332,43.27303832116788,23.8129997253418,16798.15234375,1.059999942779541,71.00969696044922,22.39999961853028,EGY,"Egypt, Arab Rep.",111.464169973379,176.93664551,4.60955143
El Salvador,SLV,North America,6280316.0,202066.0,32174.496,4230.0,673.53296,74.19961,70.025406,36.49963,41.40949817518248,26.51000022888184,11669.08203125,1.2100000381469729,71.96949768066406,12.699999809265137,SLV,El Salvador,301.919980694981,470.14025879,10.12668991
Equatorial Guinea,GNQ,Africa,1803549.0,17130.0,9497.939,183.0,101.466606,14.976527,11.867269,0.25488633,,21.016000747680664,15454.4287109375,,63.35449981689453,8.199999809265137,GNQ,Equatorial Guinea,62.7018181818182,243.81242371,3.5103004
Eritrea,ERI,Africa,3409450.0,10189.0,2988.4585,103.0,30.210152,,,,61.98833029197081,18.405000686645508,,1.0199999809265137,67.78919982910156,4.400000095367432,ERI,Eritrea,27.6467466920618,27.58759499,4.17839003
Estonia,EST,Europe,1350093.0,617836.0,457624.78,3442.0,2549.454,64.45496,63.90219,48.838562,32.01828467153285,41.625,41189.66796875,4.130000114440918,78.16739654541016,6.900000095367432,EST,Estonia,31.1329122807018,2091.15649414,7.47591066
Eswatini,SWZ,Africa,1218921.0,75356.0,61821.89,1427.0,1170.7075,43.15702,35.058464,14.722037,48.58365875912409,21.76799964904785,10380.396484375,2.0199999809265137,63.02830123901367,7.900000095367432,SWZ,Eswatini,70.1507558139535,297.72213745,7.40552139
Ethiopia,ETH,Africa,125384285.0,501339.0,3998.4197,7574.0,60.406296,41.86291,34.815372,4.7677984,45.03737226277372,18.527999877929688,2892.22216796875,0.3300000131130218,66.89710235595703,4.400000095367432,ETH,Ethiopia,108.230378298522,26.06931114,3.20779967
Falkland Islands,FLK,South America,3515.0,1923.0,547083.94,0.0,0.0,74.87909,50.497868,,,40.935001373291016,,,79.0447998046875,,,,,,
Faroe Islands,FRO,Europe,54039.0,34658.0,641351.6,28.0,518.1443,77.19425,75.67683,39.386368,27.565136861313867,37.53799819946289,72059.578125,,79.26370239257812,5.300000190734863,FRO,Faroe Islands,38.9021897810219,,
Fiji,FJI,Oceania,919428.0,69047.0,75097.78,885.0,962.555,77.44217,69.73836,18.712286,54.02374087591241,27.475000381469727,13592.4638671875,1.8899999856948853,67.14810180664062,16.600000381469727,FJI,Fiji,50.1757525998905,331.58413696,7.06084681
Finland,FIN,Europe,5569300.0,1518514.0,272657.97,11466.0,2058.7866,81.236206,78.054924,80.00501,32.519306569343065,42.5260009765625,56123.1484375,2.609999895095825,81.24349975585938,6.900000095367432,FIN,Finland,18.2301659134121,5261.90966797,9.90969753
France,FRA,Europe,66277412.0,39060446.0,607685.44,168207.0,2616.8914,82.49821,80.257324,71.978584,42.27250912408759,41.56700134277344,54799.34765625,5.650000095367432,82.47530364990234,6.5,FRA,France,125.879601076167,5364.89746094,12.24894238
French Guiana,GUF,South America,298319.0,98041.0,328644.84,413.0,1384.4241,,,,,25.23500061035156,,,76.79419708251953,,,,,,
French Polynesia,PYF,Oceania,280388.0,79451.0,283360.9,650.0,2318.216,68.08708,66.62304,40.029175,,34.15999984741211,,,83.8593978881836,22.799999237060547,PYF,French Polynesia,80.6084701815039,,
Gabon,GAB,Africa,2430750.0,49069.0,20186.773,307.0,126.29847,12.804443,10.592245,0.10663375,47.46268248175183,21.475000381469727,18923.662109375,1.950000047683716,67.71299743652344,8.5,GAB,Gabon,9.22389878526798,228.46922302,2.79254127
Gambia,GMB,Africa,2636472.0,12627.0,4789.355,372.0,141.09766,25.576376,20.451042,2.038368,32.8836496350365,17.985000610351562,3057.68408203125,1.1100000143051147,64.85900115966797,5.5,GMB,"Gambia, The",254.546442687747,29.77283478,3.74321485
Georgia,GEO,Asia,3794782.0,1864337.0,491289.62,17151.0,4519.6274,43.59945,33.62968,2.129714,43.51702554744526,36.63399887084961,24883.908203125,4.039999961853027,74.14089965820312,6.699999809265137,GEO,Georgia,64.8834808775675,524.32415771,10.53835487
Germany,DEU,Europe,84086227.0,38437953.0,457125.44,174979.0,2080.9473,77.15449,75.596375,77.053566,44.04211678832117,45.02399826049805,62554.5546875,7.550000190734863,80.57959747314453,7.800000190734863,DEU,Germany,238.118085806692,6653.58349609,12.72403336
Ghana,GHA,Africa,33149152.0,172843.0,5214.1,1463.0,44.133858,41.82365,32.519695,14.498159,42.581414233576645,20.73600006103516,7055.625,0.6899999976158142,65.24600219726562,2.700000047683716,GHA,Ghana,142.918455784436,94.40388489,3.86030865
Gibraltar,GIB,Europe,37631.0,20550.0,546092.3,113.0,3002.8435,112.07515,110.18841,130.66354,,38.948001861572266,,,83.5167007446289,,GIB,Gibraltar,3685.8,,
Greece,GRC,Europe,10412481.0,5866360.0,563396.94,40253.0,3865.8413,76.23573,73.44144,71.66346,52.54457116788321,45.39099884033203,37474.28125,4.269999980926514,79.94409942626953,8.0,GRC,Greece,81.9953995345229,1846.37304688,9.03178692
Greenland,GRL,North America,56014.0,11971.0,213714.42,21.0,374.90628,73.60124,68.75246,,30.740702554744523,33.92399978637695,71037.5390625,,70.0519027709961,4.300000190734863,GRL,Greenland,0.138026556218784,,
Grenada,GRD,North America,116928.0,19693.0,168419.88,238.0,2035.4407,37.836105,33.38294,6.3380885,,32.88600158691406,17751.509765625,3.009999990463257,75.15080261230469,11.300000190734863,GRD,Grenada,343.2,508.09500122,5.27963448
Guadeloupe,GLP,North America,384702.0,203235.0,528292.0,1021.0,2654.0022,,,,,45.86299896240234,,,80.90540313720703,,,,,,
Guam,GUM,Oceania,165193.0,52287.0,316520.7,419.0,2536.427,,,,43.72554744525547,30.979999542236328,,,77.10150146484375,20.299999237060547,GUM,Guam,303.203703703704,,
Guatemala,GTM,North America,17847877.0,1255469.0,70342.766,20205.0,1132.0674,50.078354,39.953743,24.104692,53.45754562043796,22.24399948120117,12640.8876953125,0.449999988079071,71.2063980102539,13.199999809265137,GTM,Guatemala,164.227790220231,361.51858521,7.35698891
Guernsey,GGY,Europe,63750.0,35326.0,554133.3,67.0,1050.9803,85.05569,82.68235,108.76706,,43.880001068115234,,,83.10800170898438,,,,,,
Guinea,GIN,Africa,14055136.0,38594.0,2745.9001,468.0,33.297436,62.010365,41.650185,3.026495,52.760620437956206,17.836000442504883,4016.341796875,0.3000000119209289,60.43159866333008,4.599999904632568,GIN,Guinea,55.7973018069347,44.10476303,3.7175858
Guinea-Bissau,GNB,Africa,2105535.0,9614.0,4566.0605,177.0,84.06415,35.480625,26.0094,3.6265843,,18.732999801635746,2744.27978515625,,63.60449981689453,4.800000190734863,GNB,Guinea-Bissau,73.2162517780939,70.21189117,8.39794922
Guyana,GUY,South America,821638.0,75520.0,91913.96,1312.0,1596.8103,60.555866,46.797615,10.08522,52.199142335766425,25.304000854492188,70516.71875,3.240000009536743,69.88849639892578,16.399999618530273,GUY,Guyana,3.86228095102775,457.86633301,4.64326477
Haiti,HTI,North America,11503603.0,34901.0,3033.919,860.0,74.759186,4.5324583,3.1845589,,44.14991788321168,23.25,2809.645263671875,4.900000095367432,63.94829940795898,8.5,HTI,Haiti,412.720827285922,59.89406204,3.57739854
Honduras,HND,North America,10463880.0,473042.0,45207.133,11114.0,1062.1299,63.037926,55.94186,46.562984,62.847700729927006,23.20599937438965,6585.85546875,0.5299999713897705,72.71510314941406,5.0,HND,Honduras,91.9642237912235,253.63349915,9.27311516
Hong Kong,HKG,Asia,7465913.0,,,,,92.68869,91.124664,97.63102,58.07604927007299,45.59099960327149,66153.9765625,,83.48529815673828,8.199999809265137,HKG,"Hong Kong SAR, China",7060.09523809524,,
Hungary,HUN,Europe,9684308.0,2240875.0,231392.38,49124.0,5072.536,66.29646,64.090385,44.420666,36.542892335766425,42.99300003051758,40686.93359375,6.630000114440918,76.21179962158203,8.300000190734863,HUN,Hungary,105.532895025203,1392.97460938,7.33524847
Iceland,ISL,Europe,380368.0,211291.0,555491.0,186.0,489.00012,81.43955,78.32783,75.62466,30.61391423357664,35.74700164794922,67310.0546875,2.8299999237060547,81.58769989013672,6.900000095367432,ISL,Iceland,3.69453535654071,6722.421875,9.72073746
India,IND,Asia,1425423209.0,45056221.0,31609.014,533849.0,374.51965,72.07957,66.78652,15.955859,57.86519160583941,27.68400001525879,9818.04296875,1.590000033378601,71.69840240478516,10.5,IND,India,475.652042419085,75.54971313,3.34680939
Indonesia,IDN,Asia,278830527.0,6830274.0,24496.148,162059.0,581.20966,73.31313,62.749634,24.87398,54.45875,29.56100082397461,14470.4375,1.3700000047683716,70.92459869384766,11.300000190734863,IDN,Indonesia,146.235107708626,158.89761353,3.70634937
Iran,IRN,Asia,89524247.0,7627863.0,85204.44,146837.0,1640.1925,72.82924,65.44067,35.021,59.33673357664233,32.340999603271484,17484.1328125,1.850000023841858,76.79930114746094,9.0,IRN,"Iran, Islamic Rep.",54.518020338983,196.66934204,4.85886621
Iraq,IRQ,Asia,44070556.0,2465545.0,55945.402,25375.0,575.78125,25.715412,18.0274,0.62463474,58.38047445255474,20.093000411987305,12725.04296875,1.059999942779541,72.03710174560547,13.399999618530272,IRQ,Iraq,99.2127035680556,251.59538269,5.14179993
Ireland,IRL,Europe,5110015.0,1754198.0,343286.28,9779.0,1913.693,80.47407,79.5611,62.85232,42.54294708029197,37.99700164794922,119037.734375,2.9600000381469727,82.05049896240234,3.5999999046325684,IRL,Ireland,74.1847147626651,6754.07519531,6.44113493
Isle of Man,IMN,Europe,84148.0,38008.0,451680.38,116.0,1378.5236,82.66388,79.74759,63.374054,,45.47600173950195,,,80.95610046386719,7.5,IMN,Isle of Man,147.554385964912,,
Israel,ISR,Asia,9103143.0,4841703.0,531871.56,12707.0,1395.8915,77.50582,70.14864,63.3441,43.283403284671536,29.086000442504883,47338.84375,3.140000104904175,82.81449890136719,10.100000381469728,ISR,Israel,433.059149722736,4294.18847656,7.83961058
Italy,ITA,Europe,59619106.0,26969913.0,452370.3,198523.0,3329.8555,85.436905,83.00122,80.117546,52.284242700729926,47.11600112915039,53265.00390625,3.059999942779541,82.052001953125,7.699999809265137,ITA,Italy,199.965416259464,3414.57299805,9.28164482
Jamaica,JAM,North America,2839150.0,157668.0,55533.523,3634.0,1279.9606,30.28276,26.796753,1.6224927,53.979808394160585,31.152999877929688,11340.263671875,1.649999976158142,71.48090362548828,12.5,JAM,Jamaica,262.020498614958,413.36227417,8.00261688
Japan,JPN,Asia,124997585.0,33803572.0,270433.8,74694.0,597.56354,83.79367,82.76578,140.53253,40.35818430656934,48.54800033569336,46106.921875,12.59000015258789,84.0541000366211,8.100000381469727,JPN,Japan,344.80546776406,4843.94433594,12.08108234
Jersey,JEY,Europe,103493.0,66391.0,641502.3,161.0,1555.6608,81.51759,79.11839,71.17583,,42.867000579833984,,,79.72570037841797,,,,,,
Jordan,JOR,Asia,11256269.0,1746997.0,155202.14,14122.0,1254.5897,42.83461,40.495773,6.0607204,41.26021897810219,23.94300079345703,9520.2509765625,1.409999966621399,77.08799743652344,20.5,JOR,Jordan,124.629547041467,322.01589966,7.69733906
Kazakhstan,KAZ,Asia,20034612.0,1504370.0,75088.555,19072.0,951.9526,54.196712,53.0535,12.548638,51.24129562043795,29.347999572753903,35973.96484375,6.539999961853027,73.50279998779297,6.800000190734863,KAZ,Kazakhstan,7.31325813979331,391.81536865,3.98701859
Kenya,KEN,Africa,54252458.0,344162.0,6343.7124,5689.0,104.86161,26.716526,20.442282,3.6876411,51.54954379562045,19.27199935913086,5845.201171875,1.3300000429153442,63.54909896850586,3.0999999046325684,KEN,Kenya,91.6187594501618,94.20249176,4.56992722
Kiribati,KIR,Oceania,130483.0,5085.0,38970.594,24.0,183.932,77.32808,62.44032,28.820612,25.193649635036493,22.52899932861328,3257.13623046875,1.8600000143051147,66.2686996459961,24.600000381469727,KIR,Kiribati,158.49012345679,263.09573364,11.83228588
